Dataset,DatasetSize,Epoch,Epsilon,BatchSize,SampleRate,Steps,Sigma,Sigma_over_q,CumulativeNoise,TotalNoiseVariance,CumulativeEffectiveNoise
cifar100,5000,40,0.5,1,0.0002,200000.0,0.908203125,4541.015625,406.16078497554776,164966.58325195312,2030803.9248777386
cifar100,5000,40,0.5,2,0.0004,100000.0,1.1328125,2832.03125,358.22676619094926,128326.416015625,895566.9154773732
cifar100,5000,40,0.5,4,0.0008,50000.0,1.46484375,1831.0546875,327.54902014157074,107288.36059570312,409436.2751769634
cifar100,5000,40,0.5,8,0.0016,25000.0,1.953125,1220.703125,308.8161777508183,95367.431640625,193010.11109426143
cifar100,5000,40,0.5,16,0.0032,12500.0,2.6953125,842.28515625,301.3450985302451,90808.86840820312,94170.34329070158
cifar100,5000,40,0.5,32,0.0064,6250.0,3.75,585.9375,296.46353064078556,87890.625,46322.42666262274
cifar100,5000,40,0.5,64,0.0128,3125.0,5.234375,408.935546875,292.61045799313655,85620.88012695312,22860.19203071379
cifar100,5000,40,0.5,128,0.0256,1562.5,7.34375,286.865234375,290.28720708576924,84266.66259765625,11339.34402678786
cifar100,5000,40,0.5,256,0.0512,781.25,10.46875,204.4677734375,292.61045799313655,85620.88012695312,5715.048007678448
cifar100,5000,40,0.5,512,0.1024,390.625,14.6875,143.4326171875,290.28720708576924,84266.66259765625,2834.836006696965
cifar100,5000,40,0.5,1024,0.2048,195.3125,20.625,100.7080078125,288.24313772458225,83084.1064453125,1407.4371959208117
cifar100,5000,40,0.5,2048,0.4096,97.65625,29.375,71.71630859375,290.28720708576924,84266.66259765625,708.7090016742412
cifar100,5000,40,0.5,4096,0.8192,48.828125,41.25,50.35400390625,288.24313772458225,83084.1064453125,351.85929898020294
cifar100,5000,40,0.5,5000,1.0,40.0,45.625,45.625,288.55783649036465,83265.625,288.55783649036465
cifar100,5000,40,1.0,1,0.0002,200000.0,0.677490234375,3387.451171875,302.98284363095297,91798.60353469849,1514914.2181547647
cifar100,5000,40,1.0,2,0.0004,100000.0,0.78125,1953.125,247.05294220065466,61035.15625,617632.3555016366
cifar100,5000,40,1.0,4,0.0008,50000.0,0.9375,1171.875,209.6313728906053,43945.3125,262039.2161132566
cifar100,5000,40,1.0,8,0.0016,25000.0,1.1767578125,735.4736328125,186.06174709486802,34618.97373199463,116288.5919342925
cifar100,5000,40,1.0,16,0.0032,12500.0,1.533203125,479.1259765625,171.41732054075536,29383.89778137207,53567.91266898605
cifar100,5000,40,1.0,32,0.0064,6250.0,2.05078125,320.4345703125,162.12849331917963,26285.648345947266,25332.577081121814
cifar100,5000,40,1.0,64,0.0128,3125.0,2.83203125,221.25244140625,158.31535973509253,25063.753128051758,12368.387479304103
cifar100,5000,40,1.0,128,0.0256,1562.5,3.9453125,154.11376953125,155.95216976416324,24321.07925415039,6091.881631412626
cifar100,5000,40,1.0,256,0.0512,781.25,5.5078125,107.574462890625,153.94803946653826,23699.99885559082,3006.7976458308253
cifar100,5000,40,1.0,512,0.1024,390.625,7.734375,75.531005859375,152.86400798665508,23367.40493774414,1492.8125779946786
cifar100,5000,40,1.0,1024,0.2048,195.3125,10.9375,53.40576171875,152.8562093993997,23365.020751953125,746.3682099580062
cifar100,5000,40,1.0,2048,0.4096,97.65625,15.3125,37.384033203125,151.31992709790097,22897.720336914062,369.43341576635976
cifar100,5000,40,1.0,4096,0.8192,48.828125,21.5625,26.3214111328125,150.67254926512254,22702.21710205078,183.92645173965153
cifar100,5000,40,1.0,5000,1.0,40.0,23.90625,23.90625,151.19640062680065,22860.3515625,151.19640062680065
cifar100,5000,40,2.0,1,0.0002,200000.0,0.57403564453125,2870.17822265625,256.7165445359561,65903.38423848152,1283582.7226797803
cifar100,5000,40,2.0,2,0.0004,100000.0,0.626220703125,1565.5517578125,198.02837398271225,39215.23690223694,495070.93495678063
cifar100,5000,40,2.0,4,0.0008,50000.0,0.70068359375,875.8544921875,156.67761463438467,24547.874927520752,195847.01829298082
cifar100,5000,40,2.0,8,0.0016,25000.0,0.81298828125,508.11767578125,128.54473398877812,16523.748636245728,80340.45874298632
cifar100,5000,40,2.0,16,0.0032,12500.0,0.9814453125,306.70166015625,109.7289217474262,12040.436267852783,34290.28804607069
cifar100,5000,40,2.0,32,0.0064,6250.0,1.23779296875,193.4051513671875,97.85612632479055,9575.821459293365,15290.019738248522
cifar100,5000,40,2.0,64,0.0128,3125.0,1.62109375,126.64794921875,90.62189557250124,8212.32795715332,7079.83559160166
cifar100,5000,40,2.0,128,0.0256,1562.5,2.1875,85.44921875,86.46852977022913,7476.806640625,3377.676944149575
cifar100,5000,40,2.0,256,0.0512,781.25,3.0078125,58.746337890625,84.07091516966983,7067.91877746582,1642.0100619076138
cifar100,5000,40,2.0,512,0.1024,390.625,4.19921875,41.00799560546875,82.99434777053243,6888.061761856079,810.4916774466058
cifar100,5000,40,2.0,1024,0.2048,195.3125,5.87890625,28.705596923828125,82.16021255217733,6750.3005266189575,401.17291285242834
cifar100,5000,40,2.0,2048,0.4096,97.65625,8.203125,20.02716064453125,81.06424665958981,6571.412086486816,197.91075844626417
cifar100,5000,40,2.0,4096,0.8192,48.828125,11.4453125,13.971328735351562,79.9765524179002,6396.248936653137,97.62762746325707
cifar100,5000,40,2.0,5000,1.0,40.0,12.6953125,12.6953125,80.29220621521276,6446.83837890625,80.29220621521276
cifar100,5000,40,4.0,1,0.0002,200000.0,0.499725341796875,2498.626708984375,223.48396686742586,49945.08344680071,1117419.8343371293
cifar100,5000,40,4.0,2,0.0004,100000.0,0.535888671875,1339.7216796875,169.46287754076155,28717.66686439514,423657.19385190384
cifar100,5000,40,4.0,4,0.0008,50000.0,0.58197021484375,727.4627685546875,130.1324961270782,16934.466548264027,162665.62015884777
cifar100,5000,40,4.0,8,0.0016,25000.0,0.643310546875,402.069091796875,101.71632854667578,10346.21149301529,63572.705341672365
cifar100,5000,40,4.0,16,0.0032,12500.0,0.728759765625,227.7374267578125,81.47781876021573,6638.634949922562,25461.818362567414
cifar100,5000,40,4.0,32,0.0064,6250.0,0.8544921875,133.514404296875,67.5535388829915,4563.480615615845,10555.240450467421
cifar100,5000,40,4.0,64,0.0128,3125.0,1.041259765625,81.34841918945312,58.20819045432497,3388.1934359669685,4547.514879244138
cifar100,5000,40,4.0,128,0.0256,1562.5,1.3232421875,51.68914794921875,52.30574010654485,2735.8904480934143,2043.1929729119083
cifar100,5000,40,4.0,256,0.0512,781.25,1.74560546875,34.09385681152344,48.79115612525481,2380.57691603899,952.952268071383
cifar100,5000,40,4.0,512,0.1024,390.625,2.36328125,23.07891845703125,46.70844688481127,2181.6790103912354,456.1371766094851
cifar100,5000,40,4.0,1024,0.2048,195.3125,3.2568359375,15.902519226074219,45.5156659238391,2071.675844490528,222.2444625187456
cifar100,5000,40,4.0,2048,0.4096,97.65625,4.51171875,11.014938354492188,44.5853356627744,1987.852156162262,108.85091714544531
cifar100,5000,40,4.0,4096,0.8192,48.828125,6.2109375,7.5817108154296875,43.400245168758126,1883.581280708313,52.978814903269196
cifar100,5000,40,4.0,5000,1.0,40.0,6.85546875,6.85546875,43.35779135621489,1879.8980712890625,43.35779135621489
cifar100,5000,40,8.0,1,0.0002,200000.0,0.43365478515625,2168.27392578125,193.93631567548834,37611.29453778267,969681.5783774416
cifar100,5000,40,8.0,2,0.0004,100000.0,0.461273193359375,1153.1829833984375,145.8673914594881,21277.295891195536,364668.4786487202
cifar100,5000,40,8.0,4,0.0008,50000.0,0.494842529296875,618.5531616210938,110.65015336657437,12243.45644004643,138312.69170821796
cifar100,5000,40,8.0,8,0.0016,25000.0,0.5364990234375,335.3118896484375,84.8279438259279,7195.780053734779,53017.46489120494
cifar100,5000,40,8.0,16,0.0032,12500.0,0.590057373046875,184.39292907714844,65.97041983788823,4352.096293587238,20615.75619934007
cifar100,5000,40,8.0,32,0.0064,6250.0,0.66162109375,103.3782958984375,52.30574010654485,2735.8904480934143,8172.771891647633
cifar100,5000,40,8.0,64,0.0128,3125.0,0.7611083984375,59.46159362792969,42.54725292880612,1810.2687317878008,3324.0041350629776
cifar100,5000,40,8.0,128,0.0256,1562.5,0.9051513671875,35.35747528076172,35.779249344098716,1280.1546836271882,1397.626927503856
