Dataset,DatasetSize,Epoch,Epsilon,BatchSize,SampleRate,Steps,Sigma,Sigma_over_q,CumulativeNoise,TotalNoiseVariance,CumulativeEffectiveNoise
sun397,87002,40,1,192,0.0022068458196363304,18125.416666666668,1.396484375,632.7965291341145,188.00962374198014,35347.61861960094,85193.81919166539
sun397,87002,40,1,1,1.149398864393922e-05,3480080.0,0.67138671875,58411.9873046875,1252.4700793577592,1568681.299686432,108967401.84428377
sun397,87002,40,1,2,2.298797728787844e-05,1740040.0,0.69580078125,30268.02978515625,917.8348167597476,842420.7508563995,39926732.36386578
sun397,87002,40,1,4,4.597595457575688e-05,870020.0,0.7275390625,15824.33837890625,678.611061179295,460512.9723548889,14760129.886180256
sun397,87002,40,1,8,9.195190915151376e-05,435010.0,0.7666015625,8336.983642578125,505.61426747817677,255645.7874774933,5498681.562392042
sun397,87002,40,1,16,0.00018390381830302752,217505.0,0.81787109375,4447.276306152344,381.43406962259036,145491.9494688511,2074095.432831538
sun397,87002,40,1,32,0.00036780763660605503,108752.5,0.894775390625,2432.726516723633,295.0758424056557,87069.75277140737,802255.8887805268
sun397,87002,40,1,64,0.0007356152732121101,54376.25,1.005859375,1367.3715209960938,234.55348758881675,55015.33854007721,318853.4769875349
sun397,87002,40,1,128,0.0014712305464242201,27188.125,1.201171875,816.4402770996094,198.05909203762974,39227.403938770294,134621.38379263956
sun397,87002,40,1,256,0.0029424610928484403,13594.0625,1.572265625,534.3369293212891,183.31607525145387,33604.783445596695,62300.25460557418
sun397,87002,40,1,512,0.0058849221856968805,6797.03125,2.109375,358.43719482421875,173.9055442281627,30243.138313293457,29551.035466676978
sun397,87002,40,1,1024,0.011769844371393761,3398.515625,2.91015625,247.25528717041016,169.65276529482375,28782.060772180557,14414.189341972906
sun397,87002,40,1,2048,0.023539688742787522,1699.2578125,4.0625,172.58087158203125,167.46459814563815,28044.391632080078,7114.138167903716
sun397,87002,40,1,4096,0.047079377485575044,849.62890625,5.703125,121.13849639892578,166.23693780566623,27634.719491004944,3530.9926911544367
sun397,87002,40,1,8192,0.09415875497115009,424.814453125,7.96875,84.6310043334961,164.24412510437588,26976.13263130188,1744.3319546302382
sun397,87002,40,1,16384,0.18831750994230018,212.4072265625,11.25,59.739532470703125,163.95971947956122,26882.789611816406,870.6557320654777
sun397,87002,40,1,32768,0.37663501988460035,106.20361328125,15.9375,42.31550216674805,164.24412510437588,26976.13263130188,436.08298865755955
sun397,87002,40,1,65536,0.7532700397692007,53.101806640625,22.34375,29.66233730316162,162.8211103165087,26510.7139647007,216.15237792597796
sun397,87002,40,1,87002,1.0,40.0,25.625,25.625,162.06673008362944,26265.625,162.06673008362944
sun397,87002,40,2,192,0.0022068458196363304,18125.416666666668,0.92529296875,419.2830149332682,124.57281013673159,15518.385025362175,56448.352226645424
sun397,87002,40,2,1,1.149398864393922e-05,3480080.0,0.5255126953125,45720.655517578125,980.3424893882097,961071.3964998722,85291757.26175302
sun397,87002,40,2,2,2.298797728787844e-05,1740040.0,0.546875,23789.609375,721.385961242749,520397.705078125,31381010.700020824
sun397,87002,40,2,4,4.597595457575688e-05,870020.0,0.5712890625,12425.82275390625,532.869088308574,283949.4652748108,11590169.105255637
sun397,87002,40,2,8,9.195190915151376e-05,435010.0,0.6005859375,6531.522216796875,396.1181840752595,156909.61575508118,4307884.281364466
sun397,87002,40,2,16,0.00018390381830302752,217505.0,0.63720703125,3464.8928833007812,297.1769915567047,88314.16431069374,1615937.0387135264
sun397,87002,40,2,32,0.00036780763660605503,108752.5,0.684814453125,1861.882095336914,225.83567201851685,51001.75075605512,614004.8480298439
sun397,87002,40,2,64,0.0007356152732121101,54376.25,0.74951171875,1018.8909149169922,174.77650652856005,30546.827234327793,237592.27532809033
sun397,87002,40,2,128,0.0014712305464242201,27188.125,0.8447265625,574.1632843017578,139.2854590345933,19400.439098477364,94672.76177287255
