Dataset,DatasetSize,Epoch,Epsilon,BatchSize,SampleRate,Steps,Sigma,Sigma_over_q,CumulativeNoise,TotalNoiseVariance,CumulativeEffectiveNoise
cifar100,5000,60,0.5,1,0.0002,300000.0,1.025390625,5126.953125,561.6295755668208,315427.7801513672,2808147.877834104
cifar100,5000,60,0.5,2,0.0004,150000.0,1.30859375,3271.484375,506.8161800701112,256862.64038085938,1267040.450175278
cifar100,5000,60,0.5,4,0.0008,75000.0,1.73828125,2172.8515625,476.04792595663855,226621.6278076172,595059.9074457982
cifar100,5000,60,0.5,8,0.0016,37500.0,2.34375,1464.84375,453.86523588368163,205993.65234375,283665.772427301
cifar100,5000,60,0.5,16,0.0032,18750.0,3.28125,1025.390625,449.3036604534566,201873.779296875,140407.39389170517
cifar100,5000,60,0.5,32,0.0064,9375.0,4.53125,708.0078125,438.7363946875589,192489.6240234375,68552.56166993108
cifar100,5000,60,0.5,64,0.0128,4687.5,6.40625,500.48828125,438.60595425218384,192375.18310546875,34266.09017595186
cifar100,5000,60,0.5,128,0.0256,2343.75,9.0625,354.00390625,438.7363946875589,192489.6240234375,17138.14041748277
cifar100,5000,60,0.5,256,0.0512,1171.875,12.8125,250.244140625,438.60595425218384,192375.18310546875,8566.522543987965
cifar100,5000,60,0.5,512,0.1024,585.9375,18.125,177.001953125,438.7363946875589,192489.6240234375,4284.535104370692
cifar100,5000,60,0.5,1024,0.2048,292.96875,25.625,125.1220703125,438.60595425218384,192375.18310546875,2141.6306359969913
cifar100,5000,60,0.5,2048,0.4096,146.484375,35.625,86.97509765625,431.17197408949755,185909.27124023438,1052.6659523669373
cifar100,5000,60,0.5,4096,0.8192,73.2421875,50.625,61.798095703125,433.25710115154743,187711.7156982422,528.878297304135
cifar100,5000,60,0.5,5000,1.0,60.0,56.25,56.25,435.71062644833444,189843.75,435.71062644833444
cifar100,5000,60,1.0,1,0.0002,300000.0,0.72998046875,3649.90234375,399.82676927257,159861.44542694092,1999133.84636285
cifar100,5000,60,1.0,2,0.0004,150000.0,0.8642578125,2160.64453125,334.7256114642152,112041.23497009277,836814.028660538
cifar100,5000,60,1.0,4,0.0008,75000.0,1.064453125,1330.56640625,291.51249398468315,84979.53414916992,364390.6174808539
cifar100,5000,60,1.0,8,0.0016,37500.0,1.357421875,848.388671875,262.8636157826323,69097.28050231934,164289.75986414516
cifar100,5000,60,1.0,16,0.0032,18750.0,1.806640625,564.5751953125,247.38445590443294,61199.069023132324,77307.6424701353
cifar100,5000,60,1.0,32,0.0064,9375.0,2.4609375,384.521484375,238.27924883893286,56777.000427246094,37231.13263108326
cifar100,5000,60,1.0,64,0.0128,4687.5,3.3984375,265.5029296875,232.6751098776829,54137.7067565918,18177.742959193976
